chrom,start,end,strand,score_,occupancy
chr11,4266572,4266591,-,15.32484,0.015367991106336784
chr11,6003249,6003268,-,30.25234,0.03584268506627767
chr11,6003251,6003270,+,30.25234,0.03584268506627767
chr11,16412586,16412605,-,49.33445,0.10108474682818648
chr11,22677337,22677356,+,18.22626,0.01814183241148488
chr11,32140966,32140985,-,94.12062,0.5866859629101525
chr11,36045603,36045622,+,91.91432,0.5574669746702676
chr11,48796325,48796344,-,26.45729,0.02895428086715878
chr11,52346213,52346232,+,98.57358,0.6428241290887741
chr11,53466367,53466386,+,111.63075,0.7764934012291952
chr11,53551819,53551838,-,34.31637,0.04495699541703915
chr11,53736840,53736859,+,119.52025,0.8324860005993431
chr11,55545710,55545729,-,64.92551,0.21647808079822758
chr11,61714553,61714572,-,73.80388,0.3144817432074758
chr11,69933790,69933809,+,94.46609,0.5911875794998955
chr11,72354885,72354904,-,126.27753,0.8673805956785916
chr11,78165333,78165352,+,25.32398,0.027158507616491943
chr11,79048908,79048927,+,66.40453,0.23120574353683077
chr11,83272505,83272524,-,34.02324,0.044231750131419834
chr11,95876098,95876117,-,99.87888,0.6584018132468741
chr11,95973183,95973202,+,35.17596,0.04714942975783342
chr11,97357683,97357702,-,45.41821,0.08226176903875282
chr11,98014853,98014872,+,16.7044,0.016630625947871968
chr11,98858854,98858873,+,79.70953,0.39047644190112746
chr11,100761647,100761666,-,102.82123,0.6918309857419459
chr11,103352244,103352263,-,25.34866,0.02719643761824808
chr11,106391764,106391783,-,64.78571,0.21512076295859986
chr11,120092782,120092801,+,42.35045,0.06979626149788319
chr11,3223232,3223251,+,29.91259,0.03516671929036499
chr11,3223269,3223288,-,29.91259,0.03516671929036499
chr11,3289987,3290006,-,118.12486,0.8238619952944553
chr11,3290251,3290270,-,118.12486,0.8238619952944553
chr11,3314233,3314252,-,122.53996,0.8494245599883236
chr11,3328382,3328401,+,32.11952,0.039785968154191366
chr11,3347264,3347283,+,78.24763,0.3710628765732431
chr11,3353205,3353224,-,68.83234,0.2568165850868063
chr11,3387245,3387264,+,83.6893,0.4446329004635451
chr11,3409297,3409316,-,90.38459,0.5368083275613259
chr11,3409317,3409336,-,90.38459,0.5368083275613259
chr11,3453662,3453681,+,80.72518,0.40414212387651244
chr11,3453724,3453743,-,80.72518,0.40414212387651244
chr11,3453916,3453935,+,80.72518,0.40414212387651244
chr11,3456533,3456552,+,86.35744,0.4814808295598305
chr11,3472675,3472694,+,87.80881,0.5015203198725732
chr11,3474902,3474921,+,59.20176,0.16584190554176165
chr11,3514619,3514638,-,77.94709,0.367114213050496
chr11,3531830,3531849,-,44.75585,0.07941029074839344
chr11,3535204,3535223,+,111.60045,0.776243107489022
chr11,3535471,3535490,+,111.60045,0.776243107489022
chr11,3535666,3535685,+,111.60045,0.776243107489022
chr11,3544603,3544622,+,75.29574,0.3330130230155265
chr11,3571412,3571431,+,32.47781,0.04058870384533599
chr11,3571494,3571513,-,32.47781,0.04058870384533599
chr11,3594767,3594786,+,31.54545,0.03853135362704525
chr11,3597189,3597208,-,21.78212,0.02221665198078281
chr11,3602123,3602142,-,100.4661,0.6652644094850623
chr11,3602158,3602177,-,100.4661,0.6652644094850623
chr11,3602176,3602195,-,100.4661,0.6652644094850623
